年代中期公司总部迁至深圳,1985.,深圳市,-1,-1
 年公司进入房地产开发领域。,2003,-1,-1,-1
年成立深圳市金湾房地产有限公司,2007,深圳市,深圳市金湾房地产有限公司,-1
 并于,2007,深圳市,-1,-1
已经形成房地产开发,2013.10,-1,-1,-1
集团将密切关注政策和市场走向,,-1,-1,-1
努力提高公司管控能力,,-1,-1,-1
积极实施“融入,,-1,-1,-1
整合”战略,,-1,-1,-1
继续培育提升“金湾”的品牌价值,,珠海市金湾区,-1,-1
在做强做大“金融投资和房地产开发”的同时,,珠海市金湾区,-1,-1
大力发展资源产业,,桂林市资源县,-1,-1
努力形成地产,,桂林市资源县,-1,-1
金融和资源协同发展,,桂林市资源县,-1,-1
优势互补的专业化经营格局。加强资本运作,,桂林市资源县,-1,-1
推进产业合作,,合作市,-1,-1
不断增强企业综合实力和核心竞争力,,合作市,-1,-1
力争用5年左右时间,,合作市,-1,-1
把集团打造为知名的专业化实业集团。,,合作市,-1,-1
团支书,1989.07-1992.04,四川省,-1,-1
 四川省涪陵市致韩镇政府文书,1992.07-1994.04,四川省,-1,文书
 四川省涪陵市义和镇组织委员,1994.04-1996.01,四川省,-1,委员
至今,2011.8,-1,-1,-1
 中共四川省涪陵地委党校学,1983.06-1984.08,四川省,中共四川省涪陵地委党校学,-1
 中专毕业,1985.03-1987.05,-1,-1,-1
 党校大专毕业,1993.09-1996.05,四川省,-1,-1
 党校本科毕业,1998.09-2000.12,重庆市,-1,-1
 起,2012.03,-1,-1,-1
至今,2016.07,-1,-1,-1
 3-4,2016.07,重庆市,-1,-1
 评聘为植物及植物生理学讲师,1987.10,-1,-1,讲师
 评聘为高级讲师,1993.12,-1,-1,高级讲师
 四川省万县农学院,1980.01-1988.03,四川省,四川省万县农学院,-1
民族,2007.02-2015.11,重庆市,-1,-1
宗教,2007.02-2015.11,重庆市,-1,-1
侨台,2007.02-2015.11,台,-1,-1
 重庆市万州区第一,,重庆市,-1,-1
二,,重庆市,-1,-1
万州区第二,,重庆市万州区,万州区第二,-1
万州区第二,,重庆市万州区,万州区第二,-1
 任秘书科长,1997.03-1997.12,-1,-1,科长
 中师毕业,1987.09-1990.07,四川省,-1,-1
获工学硕士学位,1992.09-1996.10,湖南省,-1,-1
获经济学博士学位,2003.09-2006.12,湖南省,-1,-1
—,2016.04,-1,-1,-1
 获法学博士学位,2001.09-2005.10,云南省,-1,-1
 在云南省剑川县二中任教；,1982.08-1984.05,云南省,-1,任教
 中共云南省第八,2016.02-2017.3,云南省,中共云南省,-1
年获得国家级科学技术进步特等奖,1996,-1,-1,-1
年获得国家级科技进步一等奖等多项奖励,2001,-1,-1,-1
 著有数十篇学术价值较高的论文和研究报告,2001,-1,-1,-1
加入中国共产党,2008.1,-1,中国共产党,-1
参加工作,1966.9,-1,-1,工作
 大学学历,1966.9,-1,-1,-1
一,2017.12,-1,-1,-1
 在解放军35025部队服役；,1975.12-1980.3,焦作市解放区,解放军35025部队,-1
 退休,2015.12,-1,-1,-1
——2017.05,2014.07,-1,-1,-1
6-8,,-1,-1,-1
 云南后所煤矿矿长；,1988.10-1995.04,云南省,-1,矿长
 山西大学物理系教辅,1978.08-1982.08,教辅,山西大学物理系,-1
 年任现职,2005,-1,-1,-1
 起,2008.5,-1,-1,-1
—,2015.11,-1,-1,-1
 年聘为国际商务师,1994,-1,国际商务师,-1
 当选,2005.02,-1,-1,-1
 起,2008.04,-1,-1,-1
 四川省眉山县知青；,1974.08-1976.11,四川省,-1,知青
 四川省经济技术协作办公室综合处,1987.02-1989.04,四川省,四川省经济技术协作办公室综合处,-1
 四川省五矿,1993.06-1996.11,四川省,四川省五矿,-1
中共四川省第九届,2017.01,中共四川省,-1,-1
播音员。,1987.06,徐州市,-1,-1
 在平鲁区政府办工作。,1993.07-1994.09,平鲁区,-1,工作
 应县人民政府副县长；,2001.9,-1,-1,副县长
 应县人民政府副县长,2011.5,-1,-1,副县长
参加工作,1982.8,-1,-1,工作
参加工作,1982.8,-1,-1,工作
 毕业于太原工业大学自动化专业获工学学士学位。,1981.12,太原市,太原工业大学,-1
 毕业于山西矿业学院矿山电气化与自动化专业获工学硕士学位。,1984.11,山西省,山西矿业学院,-1
安全生产信息化及煤矿电气安全方面的研究和实践,1988.12,北京市,-1,-1
 获经济学硕士学位,1995.9-1998.7,山西省,-1,-1
 起中国人民大学经济学在读博士,2001.9,-1,中国人民大学,-1
 1998年,1949.3,-1,-1,-1
年,2003,-1,-1,-1
 获江苏省第五届精神文明建设“五个一”工程奖。,2003,江苏省,-1,-1
年至今,1995,-1,-1,-1
临县峪民煤矿记帐员,1993.12-1995.8,-1,临县峪民煤矿,-1
第九届,,-1,-1,-1
年进入山西大学历史系,1994,山西省,山西大学历史系,-1
年获历史学硕士学位,1997,-1,-1,-1
 并留校任教于哲学系,1997,-1,-1,任教
 本文学博士后期课程；,1999.,-1,-1,-1
考入北京师范大学哲学社会学学院,2004,北京市,北京师范大学哲学社会学学院,-1
 年获哲学博士学位,2007,-1,-1,-1
 起先后在洪洞县委农工部,1983.09,临汾市洪洞县,洪洞县委农工部,-1
 任洪洞县县长助理,1998.08,洪洞县,-1,县长助理
 任洪洞县县长助理,1999.03,洪洞县,-1,县长助理
—,2016.07,-1,-1,-1
 ——涉嫌严重违纪被调查。,2014.,-1,-1,-1
 ——被开除党籍和公职并移送司法机关依法处理,2014.07,-1,-1,-1
 4,2014.07,-1,-1,-1
 山西大学科技哲学中心读博士,2002.09-2006.07,山西省,山西大学科技哲学中心,-1
7,,-1,-1,-1
